Count,Population_pair,Samples,Initial_SNP,MAF_filter_SNP,Filtered_SNP,LR_accuracy,LR_f1score,LR_kappa,UMAP_LR_accuracy,UMAP_LR_f1score,UMAP_LR_kappa,PCA_LR_accuracy,PCA_LR_f1score,PCA_LR_kappa
1,BFcol_BFgam,167.0,4836295,202928,117141,1.0,1.0,1.0,0.47058823529411764,0.47058823529411764,-0.0736842105263158,1.0,1.0,1.0
2,BFcol_AOcol,153.0,4836295,196218,61911,1.0,1.0,1.0,0.45161290322580644,0.30107526881720437,-0.06464646464646462,1.0,1.0,1.0
3,BFcol_CIcol,146.0,4836295,206852,91634,1.0,1.0,1.0,0.5333333333333333,0.475,0.06666666666666665,1.0,1.0,1.0
4,BFcol_CMgam,175.0,4836295,200832,118031,1.0,1.0,1.0,0.4,0.2448979591836734,-0.05755395683453246,1.0,1.0,1.0
5,BFcol_GAgam,144.0,4836295,218226,52077,1.0,1.0,1.0,0.5172413793103449,0.3526645768025079,0.0,1.0,1.0,1.0
6,BFcol_GHcol,130.0,4836295,209195,99926,1.0,1.0,1.0,0.5,0.4385964912280702,0.09625668449197855,1.0,1.0,1.0
7,BFcol_GM,140.0,4836295,213948,95963,1.0,1.0,1.0,0.5357142857142857,0.37375415282392027,0.0,1.0,1.0,1.0
8,BFcol_GNgam,115.0,4836295,200373,112287,1.0,1.0,1.0,0.30434782608695654,0.16231884057971016,-0.08875739644970415,1.0,1.0,1.0
9,BFcol_GW,166.0,4836295,206882,111223,1.0,1.0,1.0,0.5588235294117647,0.40066592674805773,0.0,1.0,1.0,1.0
10,BFcol_KE,123.0,4836295,192085,29700,1.0,1.0,1.0,0.48,0.3836007130124777,0.10958904109589052,1.0,1.0,1.0
11,BFcol_UGgam,187.0,4836295,205039,114473,1.0,1.0,1.0,0.5789473684210527,0.443859649122807,-0.05190311418685134,1.0,1.0,1.0
12,BFgam_AOcol,170.0,4836295,207088,69555,1.0,1.0,1.0,0.5,0.3630504833512353,0.052459016393442415,1.0,1.0,1.0
13,BFgam_CIcol,163.0,4836295,204334,102661,1.0,1.0,1.0,0.6060606060606061,0.4855614973262032,0.08137044967880092,1.0,1.0,1.0
14,BFgam_CMgam,192.0,4836295,201889,113457,0.8974358974358975,0.8960647195941314,0.7936507936507936,0.5128205128205128,0.3476749239461104,0.0,0.8717948717948718,0.8716258472356034,0.7430830039525691
15,BFgam_GAgam,161.0,4836295,215988,58249,1.0,1.0,1.0,0.5757575757575758,0.4207459207459208,0.0,1.0,1.0,1.0
16,BFgam_GHcol,147.0,4836295,207173,108662,1.0,1.0,1.0,0.36666666666666664,0.19674796747967477,0.0,1.0,1.0,1.0
17,BFgam_GM,157.0,4836295,210501,100563,1.0,1.0,1.0,0.40625,0.2347222222222222,0.0,1.0,1.0,1.0
18,BFgam_GNgam,132.0,4836295,203447,106226,0.7407407407407407,0.6600823045267489,0.1674008810572687,0.2962962962962963,0.13544973544973546,0.0,0.7407407407407407,0.6600823045267489,0.1674008810572687
19,BFgam_GW,183.0,4836295,204333,113845,1.0,1.0,1.0,0.5135135135135135,0.34845559845559837,0.0,1.0,1.0,1.0
20,BFgam_KE,140.0,4836295,205403,41730,1.0,1.0,1.0,0.6428571428571429,0.5031055900621119,0.0,1.0,1.0,1.0
21,BFgam_UGgam,204.0,4836295,204547,113718,1.0,1.0,1.0,0.5609756097560976,0.4032012195121951,0.0,1.0,1.0,1.0
22,AOcol_CIcol,149.0,4836295,207682,45620,1.0,1.0,1.0,0.6333333333333333,0.5867351305091998,0.2325581395348837,1.0,1.0,1.0
23,AOcol_CMgam,178.0,4836295,205542,74009,1.0,1.0,1.0,0.5555555555555556,0.39682539682539686,0.0,1.0,1.0,1.0
24,AOcol_GAgam,147.0,4836295,227616,18086,1.0,1.0,1.0,0.4666666666666667,0.29696969696969694,0.0,1.0,1.0,1.0
25,AOcol_GHcol,133.0,4836295,199242,41676,1.0,1.0,1.0,0.48148148148148145,0.4641975308641975,0.0357142857142857,1.0,1.0,1.0
26,AOcol_GM,143.0,4836295,206985,37138,1.0,1.0,1.0,0.5517241379310345,0.39233716475095787,0.0,1.0,1.0,1.0
27,AOcol_GNgam,118.0,4836295,201758,35277,1.0,1.0,1.0,0.5416666666666666,0.5084249084249084,-0.13793103448275867,1.0,1.0,1.0
28,AOcol_GW,169.0,4836295,210052,66730,1.0,1.0,1.0,0.47058823529411764,0.4478991596638655,-0.03378378378378377,1.0,1.0,1.0
29,AOcol_KE,126.0,4836295,208538,5304,1.0,1.0,1.0,0.6153846153846154,0.4688644688644689,0.0,1.0,1.0,1.0
30,AOcol_UGgam,190.0,4836295,210194,74205,1.0,1.0,1.0,0.5789473684210527,0.4245614035087719,0.0,1.0,1.0,1.0
31,CIcol_CMgam,171.0,4836295,201711,105937,1.0,1.0,1.0,0.42857142857142855,0.2571428571428571,0.0,1.0,1.0,1.0
32,CIcol_GAgam,140.0,4836295,232069,34586,1.0,1.0,1.0,0.5,0.3333333333333333,0.0,1.0,1.0,1.0
33,CIcol_GHcol,126.0,4836295,214330,67923,1.0,1.0,1.0,0.5384615384615384,0.4551764025448236,-0.046979865771812124,1.0,1.0,1.0
34,CIcol_GM,136.0,4836295,216401,72602,1.0,1.0,1.0,0.4642857142857143,0.29442508710801396,0.0,1.0,1.0,1.0
35,CIcol_GNgam,111.0,4836295,204304,81889,1.0,1.0,1.0,0.34782608695652173,0.17952314165497896,0.0,1.0,1.0,1.0
36,CIcol_GW,162.0,4836295,208239,96149,1.0,1.0,1.0,0.5151515151515151,0.4978354978354979,-0.03125,1.0,1.0,1.0
37,CIcol_KE,119.0,4836295,207263,12374,1.0,1.0,1.0,0.5416666666666666,0.4099099099099098,-0.08196721311475397,1.0,1.0,1.0
38,CIcol_UGgam,183.0,4836295,205603,103564,1.0,1.0,1.0,0.6216216216216216,0.47657657657657654,0.0,1.0,1.0,1.0
39,CMgam_GAgam,169.0,4836295,222474,64123,1.0,1.0,1.0,0.47058823529411764,0.3764705882352941,-0.22399999999999998,1.0,1.0,1.0
40,CMgam_GHcol,155.0,4836295,204446,111487,1.0,1.0,1.0,0.6451612903225806,0.5060088551549652,0.0,1.0,1.0,1.0
41,CMgam_GM,165.0,4836295,207508,104545,1.0,1.0,1.0,0.6060606060606061,0.45740423098913663,0.0,1.0,1.0,1.0
42,CMgam_GNgam,140.0,4836295,209639,114800,0.75,0.6713947990543735,0.1694915254237288,0.7142857142857143,0.5952380952380951,0.0,0.7857142857142857,0.7354037267080746,0.32258064516129037
43,CMgam_GW,191.0,4836295,202630,115326,1.0,1.0,1.0,0.5384615384615384,0.4023872679045093,0.05390835579514841,1.0,1.0,1.0
44,CMgam_KE,148.0,4836295,204786,48208,1.0,1.0,1.0,0.6666666666666666,0.5333333333333333,0.0,1.0,1.0,1.0
45,CMgam_UGgam,212.0,4836295,202990,114098,1.0,1.0,1.0,0.46511627906976744,0.33253526496378194,-0.006103763987792332,1.0,1.0,1.0
46,GAgam_GHcol,124.0,4836295,224908,28847,1.0,1.0,1.0,0.48,0.4560919540229885,0.012158054711246202,1.0,1.0,1.0
47,GAgam_GM,134.0,4836295,228423,25672,1.0,1.0,1.0,0.5185185185185185,0.35411020776874436,0.0,1.0,1.0,1.0
48,GAgam_GNgam,109.0,4836295,229276,21907,1.0,1.0,1.0,0.6363636363636364,0.494949494949495,0.0,1.0,1.0,1.0
49,GAgam_GW,160.0,4836295,228793,58792,1.0,1.0,1.0,0.40625,0.2527777777777778,-0.06293706293706292,1.0,1.0,1.0
50,GAgam_KE,117.0,4836295,226255,2122,1.0,1.0,1.0,0.5833333333333334,0.4298245614035088,0.0,1.0,1.0,1.0
51,GAgam_UGgam,181.0,4836295,217045,64608,1.0,1.0,1.0,0.3783783783783784,0.2077371489136195,0.0,1.0,1.0,1.0
52,GHcol_GM,120.0,4836295,222296,72816,1.0,1.0,1.0,0.5416666666666666,0.38063063063063063,0.0,1.0,1.0,1.0
53,GHcol_GNgam,95.0,4836295,207485,89347,1.0,1.0,1.0,0.5789473684210527,0.4245614035087719,0.0,1.0,1.0,1.0
54,GHcol_GW,146.0,4836295,211816,100367,1.0,1.0,1.0,0.5,0.4945054945054945,-0.09756097560975618,1.0,1.0,1.0
55,GHcol_KE,103.0,4836295,192718,6764,1.0,1.0,1.0,0.47619047619047616,0.3072196620583717,0.0,1.0,1.0,1.0
56,GHcol_UGgam,167.0,4836295,208680,106948,1.0,1.0,1.0,0.6764705882352942,0.5459236326109391,0.0,1.0,1.0,1.0
57,GM_GNgam,105.0,4836295,214643,70905,1.0,1.0,1.0,0.6190476190476191,0.4733893557422969,0.0,1.0,1.0,1.0
58,GM_GW,156.0,4836295,217306,85053,1.0,1.0,1.0,0.59375,0.4424019607843137,0.0,1.0,1.0,1.0
59,GM_KE,113.0,4836295,203831,5650,1.0,1.0,1.0,0.43478260869565216,0.2635046113306983,0.0,1.0,1.0,1.0
60,GM_UGgam,177.0,4836295,211461,102301,1.0,1.0,1.0,0.6388888888888888,0.49811676082862516,0.0,1.0,1.0,1.0
61,GNgam_GW,131.0,4836295,204755,105699,1.0,1.0,1.0,0.7037037037037037,0.5813204508856683,0.0,1.0,1.0,1.0
62,GNgam_KE,88.0,4836295,183370,2712,1.0,1.0,1.0,0.4444444444444444,0.2735042735042735,0.0,1.0,1.0,1.0
63,GNgam_UGgam,152.0,4836295,204857,107170,0.8709677419354839,0.8546236559139785,0.5974025974025974,0.7096774193548387,0.6159464394400487,-0.06083650190114054,0.8709677419354839,0.8546236559139785,0.5974025974025974
64,GW_KE,139.0,4836295,209134,37633,1.0,1.0,1.0,0.6428571428571429,0.5031055900621119,0.0,1.0,1.0,1.0
65,GW_UGgam,203.0,4836295,205850,112664,1.0,1.0,1.0,0.5609756097560976,0.4032012195121951,0.0,1.0,1.0,1.0
66,KE_UGgam,160.0,4836295,210881,48242,1.0,1.0,1.0,0.6875,0.5601851851851851,0.0,1.0,1.0,1.0
